"","date","cpi","gcpi_annual","gcpi"
"117","2014-09-01",237.477,0.0168405097112321,0.00715910048008084
"118","2014-10-01",237.43,0.0160954170215133,-0.0197913903241198
"119","2014-11-01",236.983,0.012315249893208,-0.188266015246596
"120","2014-12-01",236.252,0.00653121391962319,-0.308460944455924
"121","2015-01-01",234.747,-0.00229930978205428,-0.637031644176556
"122","2015-02-01",235.342,-0.000870314629352054,0.253464368021739
"123","2015-03-01",235.976,-0.000220312844238735,0.269395178081244
"124","2015-04-01",236.222,-0.00104030989393911,0.104247889615894
"125","2015-05-01",237.001,0.000350332182442958,0.329774534124683
"126","2015-06-01",237.657,0.00179571809755052,0.276792081046073
"127","2015-07-01",238.034,0.00225686111040946,0.158631978018731
"128","2015-08-01",238.033,0.00241303798534487,-0.000420108051790713
"129","2015-09-01",237.498,8.84296163417009e-05,-0.224758751937759
"130","2015-10-01",237.733,0.00127616560670507,0.098948201669069
"131","2015-11-01",238.017,0.00436318216918519,0.119461749105088
"132","2015-12-01",237.761,0.00638724751536479,-0.107555342685606
"133","2016-01-01",237.652,0.0123750250269439,-0.0458443563073896
"134","2016-02-01",237.336,0.00847277579012662,-0.13296753235823
"135","2016-03-01",238.08,0.00891616096552195,0.313479623824442
"136","2016-04-01",238.992,0.0117262575035348,0.383064516129017
"137","2016-05-01",239.557,0.0107847646212462,0.236409586931785
"138","2016-06-01",240.222,0.0107928653479594,0.27759572878272
"139","2016-07-01",240.101,0.00868363343051826,-0.0503700743478941
"140","2016-08-01",240.545,0.0105531585956569,0.184922178583169
"141","2016-09-01",241.176,0.0154864462016522,0.262320979442521
"142","2016-10-01",241.741,0.0168592496624365,0.234268749792688
"143","2016-11-01",242.026,0.0168433347197889,0.117894771677118
"144","2016-12-01",242.637,0.0205079891151199,0.252452215877619
"145","2017-01-01",243.618,0.0251039334825711,0.404307669481563
"146","2017-02-01",244.006,0.0281036168132942,0.159265735700975
"147","2017-03-01",243.892,0.0244119623655914,-0.0467201626189517
"148","2017-04-01",244.193,0.021762234719154,0.123415282174077
"149","2017-05-01",244.004,0.0185634316676198,-0.0773977960056293
"150","2017-06-01",244.163,0.0164056580995913,0.0651628661825221
"151","2017-07-01",244.243,0.0172510735065661,0.0327649971535449
"152","2017-08-01",245.183,0.0192812155729698,0.384862616328818
"153","2017-09-01",246.435,0.0218056523037118,0.510638992099777
"154","2017-10-01",246.626,0.0202075775313248,0.0775052245013841
"155","2017-11-01",247.284,0.0217249386429557,0.266800742825168
"156","2017-12-01",247.805,0.0212993071955225,0.210688924475511
"157","2018-01-01",248.859,0.0215131886806395,0.425334436351155
"158","2018-02-01",249.529,0.0226346893109186,0.269228760060902
"159","2018-03-01",249.577,0.0233094976464994,0.0192362410782021
"160","2018-04-01",250.227,0.024709963021053,0.260440665606199
"161","2018-05-01",250.792,0.027819216078425,0.225794978159821
"162","2018-06-01",251.018,0.0280755069359402,0.090114517209483
"163","2018-07-01",251.214,0.0285412478556193,0.0780820498928358
"164","2018-08-01",251.663,0.0264292385687426,0.178732077033938
"165","2018-09-01",252.182,0.0233205510580883,0.206228170211742
"166","2018-10-01",252.772,0.0249203247021805,0.233958014449875
"167","2018-11-01",252.594,0.0214732857766777,-0.0704191919991159
"168","2018-12-01",252.767,0.0200238090434011,0.0684893544581344
"169","2019-01-01",252.561,0.0148758935782913,-0.0814979803534399
"170","2019-02-01",253.319,0.0151886153513219,0.300125514232197
"171","2019-03-01",254.277,0.018831863513064,0.37817929172308
"172","2019-04-01",255.233,0.0200058347020906,0.375967940474364
"173","2019-05-01",255.296,0.0179591055536061,0.0246833285664438
"174","2019-06-01",255.213,0.0167119489439005,-0.0325112810228068
"175","2019-07-01",255.802,0.0182633133503707,0.230787616618278
"176","2019-08-01",256.036,0.0173764121066664,0.0914770017435451
"177","2019-09-01",256.43,0.0168449770403916,0.153884609976718
"178","2019-10-01",257.155,0.0173397369961863,0.282728229926277
"179","2019-11-01",257.879,0.0209229039486292,0.281542260504386
"180","2019-12-01",258.63,0.0231952746996245,0.291221852108925
"181","2020-01-01",258.906,0.0251226436385665,0.106716158218312
"182","2020-02-01",259.246,0.0233973764305084,0.1313217924652
"183","2020-03-01",258.15,0.015231420852063,-0.422764478526194
"184","2020-04-01",256.126,0.00349876387457715,-0.784040286655041
"185","2020-05-01",255.848,0.00216219603910761,-0.108540327807394
"186","2020-06-01",257.004,0.00701766759530287,0.451830774522377
"187","2020-07-01",258.408,0.0101875669463101,0.546294999299612
"188","2020-08-01",259.366,0.0130059835335656,0.370731556298565
"189","2020-09-01",259.951,0.0137308427251102,0.225549994987784
"190","2020-10-01",260.249,0.0120316540607808,0.11463698927876
"191","2020-11-01",260.895,0.0116954075360924,0.248223816421955
"192","2020-12-01",262.005,0.0130495302169122,0.425458517794519
"193","2021-01-01",262.518,0.0139510092465991,0.19579779011849
"194","2021-02-01",263.583,0.0167292841548183,0.405686467213706
"195","2021-03-01",264.91,0.0261863257795858,0.503446732148882
"196","2021-04-01",266.752,0.0414873929237956,0.695330489600243
"197","2021-05-01",268.452,0.0492636252775085,0.637296065259108
"198","2021-06-01",270.664,0.0531509237210315,0.823983430929931
"199","2021-07-01",271.994,0.0525757716479367,0.49138415156802
"200","2021-08-01",272.789,0.0517531210721529,0.292285859246877
"201","2021-09-01",273.887,0.0536101034425718,0.402508898819232
"202","2021-10-01",276.434,0.062190440693336,0.929945561490686
"203","2021-11-01",278.799,0.0686253090323694,0.855538754277685
"204","2021-12-01",280.808,0.0717658059960689,0.720590819909694
"205","2022-01-01",282.39,0.0756976664457294,0.563374262841521
"206","2022-02-01",284.535,0.0794891931573736,0.759587804100725
"207","2022-03-01",287.553,0.0854743120305008,1.06067794823133
"208","2022-04-01",288.764,0.082518594049904,0.421139755106026
"209","2022-05-01",291.359,0.0853299658784437,0.898657727417529
"210","2022-06-01",294.996,0.0898974374131765,1.24828819428953
"211","2022-07-01",294.977,0.0844981874600172,-0.0064407652985099
"212","2022-08-01",295.209,0.0821880647680076,0.0786501998460976
"213","2022-09-01",296.341,0.0819827154994579,0.383457143921762
"214","2022-10-01",297.863,0.0775194078875969,0.513597510975528
"215","2022-11-01",298.648,0.071194659952152,0.263543978271907
"216","2022-12-01",298.812,0.0641149824791316,0.054914146419871
"217","2023-01-01",300.356,0.063621233046496,0.516712849550882
"218","2023-02-01",301.509,0.059655226949233,0.383877798345966
"219","2023-03-01",301.744,0.0493509022684515,0.0779412886514175
"220","2023-04-01",303.032,0.0494105913479519,0.426851900949132
"221","2023-05-01",303.365,0.041206895959967,0.109889384619466
"222","2023-06-01",304.003,0.0305326173914222,0.210307715128644
"223","2023-07-01",304.628,0.0327178051170092,0.20559007641372
"224","2023-08-01",306.187,0.037187213126971,0.511771734705935
"225","2023-09-01",307.288,0.0369405515942782,0.359584175683492
"226","2023-10-01",307.531,0.0324578749290783,0.0790789096873246
"227","2023-11-01",308.024,0.0313948193190645,0.160309042015272
"228","2023-12-01",308.742,0.0332315971246135,0.233098719580305
"229","2024-01-01",309.685,0.0310598090266219,0.305433015268397
"230","2024-02-01",311.054,0.0316574297947987,0.442062095354956
"231","2024-03-01",312.23,0.0347513123707512,0.378069402740366
"232","2024-04-01",313.207,0.033577311967053,0.312910354546325
"233","2024-05-01",313.225,0.0325021014289717,0.00574699799176237
"234","2024-06-01",313.049,0.0297562852998161,-0.0561896400351314
"235","2024-07-01",313.534,0.0292356579171973,0.15492782280091
"236","2024-08-01",314.121,0.0259122692994802,0.187220524727771
"237","2024-09-01",314.686,0.0240751347270312,0.17986699392909
"238","2024-10-01",315.454,0.025763256387161,0.244052801840566
"239","2024-11-01",NA,NA,NA
